geohash6,rmse(t+1),rmse(t+2),rmse(t+3),rmse(t+4),rmse(t+5),smape(t+1),smape(t+2),smape(t+3),smape(t+4),smape(t+5)
qp03wc,0.03487542422530113,0.05298614697179612,0.06769537003897026,0.08358230725581968,0.09797233776917966,20.87076262091403,27.606104869298274,32.94461047614534,38.494471688961696,44.22052050523209
qp03pn,0.012032134994746405,0.01590191470186321,0.01946233893879211,0.022594558577223468,0.02574216216834038,43.7967331384168,50.987864448080174,54.274342565162456,59.73085345135195,64.92457504187892
qp09sw,0.0263151639152609,0.03244923387956644,0.03527668425038695,0.03669229497889367,0.038469120509280794,40.96780106784481,47.86769023582682,51.20192932334724,53.8288025300301,56.23589616835282
qp0991,0.02357527065342898,0.02719206754144531,0.02858274496932046,0.0311209414055626,0.032373749820579334,43.388175341280785,51.24284336903166,52.6157015385562,57.0069938958725,61.651661192244966
qp090q,0.01005626167084928,0.011932049134525896,0.013290052823740638,0.014050812392200546,0.015223476129398018,49.43782125257819,57.16784437163236,61.839135635891324,62.892253372205055,68.40236831920133
qp03tu,0.009365853382546864,0.011375374606768655,0.012251198956696767,0.01306592264672602,0.013439554538623949,57.08229762587896,65.17245773264685,67.99446566934789,71.24780028178135,75.02731095588722
qp096d,0.010854075678682618,0.01347688638645192,0.01412011908897714,0.014027733685139022,0.01456821170402495,70.18333357604988,77.51422427729902,80.94254860155615,81.09938062901266,83.4801923006086
qp03nr,0.01971817095952214,0.02594527192494209,0.030983909427966756,0.035270932793922405,0.039556892338920846,37.69220825567853,44.994112856263364,48.36205727168706,53.655363665299305,59.285138818543146
qp093r,0.021292383546032738,0.02482304565499699,0.026307171287318083,0.028810301545343867,0.030663999069842178,45.179708995279455,53.01593418076247,55.71756411740499,59.25840991182259,62.889088854291685
qp03r2,0.036912308573013475,0.048611193289710225,0.05812759151607989,0.06826376868009501,0.07724853617045345,12.390792162667791,15.61645542458624,18.25923750627306,20.909738208666653,23.35008651191762
qp09kb,0.009670227809430141,0.010691636545265068,0.011079273514096495,0.011549355653719664,0.012137679081347464,73.66557125710122,78.86418735312846,78.61833789069436,81.17190374243921,86.71403388876197
qp03rp,0.018124705588294012,0.023426881537592155,0.026684066372190274,0.030341157560555193,0.034460194477451155,36.86830586259171,43.9602101315566,48.666153581898506,52.23243213586387,56.36342316528794
qp03w9,0.033612303076375825,0.0464522230294187,0.05726733882646737,0.06707878078377588,0.07989274626275542,7.026490023572304,9.66231929592501,11.897244353857042,13.972015755411224,16.492134979294054
qp096m,0.026603115052959005,0.03427276546215157,0.040066102218687685,0.04566778422613581,0.05019267326729085,47.816727936543714,56.425351592519064,61.91549568652037,66.32390222687543,70.97680107252397
qp091u,0.008072769474883234,0.009033497457371076,0.00951761393702087,0.010003951580040912,0.010296138258971129,66.39953697265888,73.97867938894431,77.75550823058528,79.9634871070764,79.83465715720418
qp03md,0.007539387479222101,0.008801503509585609,0.00938499854415865,0.009755800594993879,0.009991212196408803,75.09722983015584,84.23239588510471,86.5494813533978,89.07887264230308,93.63585623083407
qp099z,0.01070909453844399,0.011895716753592649,0.01283435411650245,0.012972068640203406,0.013330576940297007,69.03921922767745,76.44311374491318,80.53387135957372,80.04909229498527,83.34919653223815
qp0990,0.011576333431543465,0.01281036559353283,0.014003522873689684,0.014479040446240338,0.014909849856530988,61.4910502072019,65.83653464379455,69.73909143647353,70.87493714917903,75.10135160443498
qp03mf,0.011322603730730057,0.013116423785517457,0.014044641391495822,0.01457125075334906,0.01536950018026122,54.62412088613357,61.36411167951538,63.83703196598294,66.14071658912941,69.80522666146575
qp09fu,0.03340655642688374,0.0391290192877647,0.041645638425260714,0.04401866489314698,0.04737732501300299,29.576584939747523,34.12449775606909,35.6383496593358,37.38875359235873,40.135584694491264
qp091w,0.011118932904412156,0.01291119946347248,0.013762592010117534,0.014059508291764278,0.014202518539089437,60.37197147024596,67.6502947302452,70.97700026770627,71.98956506548366,75.39921562410647
qp0dhw,0.024504391490382804,0.028388567836747744,0.030791422634016897,0.03191250152067205,0.03383637402149944,47.31584901071619,54.321909025166065,57.352702047178866,59.25992963361059,63.425180332197634
qp09fh,0.01256101536801871,0.0150056814677809,0.015339789624479733,0.016411871603374033,0.017259438246055157,62.41988421640211,69.37197456670927,70.09215208266231,74.7263452473355,78.7962807638234
qp0961,0.02243080009439697,0.026827381804184362,0.029968160881183183,0.03257835753067282,0.034002859821670714,40.8764108631523,46.59348147837107,51.77426265765296,56.53136310210952,60.3641914304833
qp03zr,0.007016531196636398,0.008184664698385911,0.008508077441601192,0.008715994539097027,0.009292883125248664,79.5043776325315,88.10225277308513,91.16780204697153,92.55775141546255,96.80476561548491
qp09de,0.038765092516595774,0.048830498495459534,0.056564227800039626,0.0611418690468569,0.06754771701700843,37.81696994393016,43.25386759859542,46.95809273164859,49.713544892061144,54.35746298364071
qp09g8,0.02639041413285673,0.034239012679887375,0.04015993498366601,0.04477468615440249,0.05006283318343135,41.36508860470568,47.82403975456318,54.61372341850604,57.591827545927046,63.380113424881046
qp0d0k,0.004353101830054566,0.00477838669877767,0.00487708315033802,0.005305839736719514,0.005278676790393902,74.06450490335934,77.19465644815041,77.67463643944326,86.16428765252289,83.91373771530624
qp09m0,0.015371327267343507,0.018062963787595147,0.018809555027956677,0.019968485381042685,0.02129510716359737,57.538966083996854,64.19592654564455,68.22310037107853,69.67689779128888,74.94995567017561
qp03yx,0.011328783583003916,0.012902290100366576,0.014050594558305912,0.01502790896004304,0.015434016146347346,60.45221363390182,65.34373913926235,69.97635677229488,73.42730097715,74.99256106210436
